Date,Open,High,Low,Close,Volume,Ticker
2026-04-28,272.3399963378906,273.2300109863281,268.6600036621094,270.7099914550781,40018900,AAPL
2026-04-29,267.54998779296875,271.0400085449219,267.0400085449219,270.1700134277344,30047900,AAPL
2026-04-30,270.5,276.0,268.1400146484375,271.3500061035156,91848200,AAPL
2026-05-01,278.8599853515625,287.2200012207031,278.3699951171875,280.1400146484375,79915400,AAPL
2026-05-04,279.6600036621094,280.6300048828125,274.8599853515625,276.8299865722656,46668400,AAPL
2026-05-05,276.92999267578125,284.57000732421875,276.5,284.17999267578125,49311700,AAPL
2026-05-06,281.9200134277344,288.0299987792969,281.07000732421875,287.510009765625,58336100,AAPL
2026-05-07,289.2699890136719,292.1300048828125,285.7799987792969,287.44000244140625,45224300,AAPL
2026-05-08,290.010009765625,294.760009765625,290.0,293.32000732421875,52631200,AAPL
2026-05-11,291.97900390625,293.8800048828125,290.2300109863281,291.4599914550781,20094485,AAPL
2026-04-28,258.3900146484375,261.0299987792969,256.6300048828125,259.70001220703125,42204400,AMZN
2026-04-29,257.989990234375,265.9100036621094,257.70001220703125,263.0400085449219,72367900,AMZN
2026-04-30,273.1700134277344,273.8800048828125,256.1600036621094,265.05999755859375,100974900,AMZN
2026-05-01,265.5799865722656,273.32000732421875,262.739990234375,268.260009765625,50825200,AMZN
2026-05-04,268.79998779296875,276.1000061035156,268.79998779296875,272.04998779296875,49083700,AMZN
2026-05-05,276.0799865722656,278.55999755859375,272.3800048828125,273.54998779296875,41908500,AMZN
2026-05-06,272.8900146484375,277.79998779296875,272.2099914550781,274.989990234375,44552000,AMZN
2026-05-07,275.0199890136719,276.6300048828125,270.489990234375,271.1700134277344,35892900,AMZN
2026-05-08,271.6300048828125,274.0,269.95001220703125,272.67999267578125,34662900,AMZN
2026-05-11,269.8349914550781,273.6300048828125,269.1568908691406,271.3399963378906,18204617,AMZN
2026-04-28,424.57000732421875,429.9200134277344,421.8999938964844,429.25,30438100,MSFT
2026-04-29,424.5799865722656,426.82000732421875,420.2900085449219,424.4599914550781,38288300,MSFT
2026-04-30,410.80999755859375,414.4200134277344,398.010009765625,407.7799987792969,70909400,MSFT
2026-05-01,412.79998779296875,417.1099853515625,410.44000244140625,414.44000244140625,31372400,MSFT
2026-05-04,411.5400085449219,420.7799987792969,410.79998779296875,413.6199951171875,28066500,MSFT
2026-05-05,415.32000732421875,416.7799987792969,408.79998779296875,411.3800048828125,25700900,MSFT
2026-05-06,408.0,418.4200134277344,405.1099853515625,413.9599914550781,30285900,MSFT
2026-05-07,420.1099853515625,427.9800109863281,418.760009765625,420.7699890136719,34942400,MSFT
2026-05-08,417.3900146484375,418.6300048828125,414.0,415.1199951171875,33304300,MSFT
2026-05-11,407.7749938964844,412.2091064453125,405.5,409.05828857421875,15927745,MSFT
2026-04-28,209.49000549316406,214.72999572753906,208.1999969482422,213.1699981689453,180275400,NVDA
2026-04-29,212.6999969482422,212.72000122070312,207.5800018310547,209.25,123711800,NVDA
2026-04-30,209.92999267578125,210.3000030517578,198.6999969482422,199.57000732421875,225239200,NVDA
2026-05-01,201.27999877929688,203.0,197.1199951171875,198.4499969482422,128647000,NVDA
2026-05-04,199.5,201.72999572753906,194.74000549316406,198.47999572753906,125368100,NVDA
2026-05-05,199.3000030517578,200.24000549316406,196.02999877929688,196.5,113406600,NVDA
2026-05-06,199.88999938964844,208.27000427246094,198.61000061035156,207.8300018310547,188362800,NVDA
2026-05-07,208.33999633789062,214.1999969482422,206.5,211.5,168307900,NVDA
2026-05-08,213.02999877929688,217.8000030517578,212.88999938964844,215.1999969482422,136101000,NVDA
2026-05-11,213.92999267578125,222.3000030517578,213.88999938964844,220.13999938964844,100202064,NVDA
2026-04-27,3790.0,3852.0,3774.0,3788.0,13290,SMSN.IL
2026-04-28,3714.0,3760.0,3606.0,3616.0,15846,SMSN.IL
2026-04-29,3794.0,3812.0,3750.0,3756.0,11153,SMSN.IL
2026-04-30,3702.0,3786.0,3696.0,3744.0,11678,SMSN.IL
2026-05-01,3782.0,3912.0,3768.0,3862.0,11640,SMSN.IL
2026-05-05,3876.0,4240.0,3876.0,4190.0,30304,SMSN.IL
2026-05-06,4544.0,4680.0,4454.0,4548.0,48171,SMSN.IL
2026-05-07,4660.0,4718.0,4530.0,4586.0,30039,SMSN.IL
2026-05-08,4576.0,4964.0,4546.0,4886.0,25902,SMSN.IL
2026-05-11,4836.0,4950.0,4791.6748046875,4854.0,33078,SMSN.IL
2026-04-28,392.1199951171875,397.8699951171875,384.70001220703125,392.3399963378906,14715800,TSM
2026-04-29,392.9100036621094,395.8500061035156,388.17999267578125,393.8299865722656,10313000,TSM
2026-04-30,397.80999755859375,398.7900085449219,385.7099914550781,396.05999755859375,12788100,TSM
2026-05-01,393.44000244140625,403.989990234375,392.1300048828125,397.6700134277344,9926400,TSM
2026-05-04,404.5199890136719,407.70001220703125,395.20001220703125,401.6099853515625,9978500,TSM
2026-05-05,404.6000061035156,406.1300048828125,392.6000061035156,394.4100036621094,14579000,TSM
2026-05-06,402.3999938964844,419.70001220703125,400.6499938964844,419.5,17736400,TSM
2026-05-07,418.0899963378906,420.0,408.1099853515625,414.1499938964844,13403200,TSM
2026-05-08,416.95001220703125,417.0,400.8800048828125,411.67999267578125,18481900,TSM
2026-05-11,406.739990234375,407.7300109863281,398.19000244140625,405.20001220703125,9645080,TSM
